,name,tags,emoji
0,grinning face with open mouth,"['grinning', 'face']",??
1,smiling face with open mouth,"['smiling', 'face', 'open', 'mouth']",???
2,smiling face with open mouth and smiling eyes,"['smiling', 'face', 'open', 'mouth', 'smiling', 'eyes']",???
3,grinning face with smiling eyes,"['grinning', 'face', 'smiling', 'eyes']",???
4,smiling face with open mouth and tightly closed eyes,"['smiling', 'face', 'open', 'mouth', 'tightly', 'closed', 'eyes']",???
5,smiling face with open mouth and cold sweat on the head,"['smiling', 'face', 'open', 'mouth', 'cold', 'sweat']",???
6,rolling on the floor laughing with tears of joy,"['rolling', 'floor', 'laughing']",???
7,face with tears of joy,"['tears', 'joy']",???
8,slightly smiling face,"['slightly', 'smiling', 'face']",???
9,upside down face with slightly smiling,"['upside', 'down', 'face']",???
10,winking face,"['winking', 'face']",???
11,smiling face with smiling eyes,"['smiling', 'face', 'smiling', 'eyes']",???
12,smiling face with smiling eyes with halo,"['smiling', 'face', 'halo']",??
13,smiling face with smiling eyes and three hearts,"['smiling', 'face', 'smiling', 'eyes', 'hearts']",???
14,smiling face with heart shaped eyes,"['smiling', 'face', 'heart', 'shaped', 'eyes']",???
15,grinning face with star eyes,"['grinning', 'face', 'star', 'eyes']",???
16,face throwing a kiss with heart,"['face', 'throwing', 'kiss']",???
17,kissing face,"['kissing', 'face']",???
18,white smiling face with blushing,"['white', 'smiling', 'face']",??
19,kissing face with closed eyes blushing,"['kissing', 'face', 'closed', 'eyes']",???
20,kissing face with smiling eyes,"['kissing', 'face', 'smiling', 'eyes']",???
21,face savouring delicious food,"['face', 'savouring', 'delicious', 'food']",???
22,face with stuck out tongue,"['face', 'stuck', 'tongue']",???
23,face with stuck out tongue and winking eye,"['face', 'tongue', 'winking', 'eye']",???
24,grinning face with one large and one small eye,"['grinning', 'face', 'large', 'small', 'eye']",???
25,face with stuck out tongue and tightly closed eyes,"['face', 'tongue', 'tightly', 'closed', 'eyes']",???
26,money mouth face with dollar sign eyes,"['money', 'mouth', 'face']",?夷?
27,smiling face with smiling eyes with arms trying to hug,"['hugging', 'face']",?夷?
28,round eyes with hand covering mouth,"['smiling', 'face', 'smiling', 'eyes', 'hand', 'covering', 'mouth']",???
29,face with finger covering closed lips,"['face', 'finger', 'covering', 'closed', 'lips']",???
30,a thoughtful expression with the index and thumb forming a V shape on the chin,"['thinking', 'face']",?夷?
31,zipper mouth face with round eyes,"['zipper', 'mouth', 'face']",?夷?
32,face with one eyebrow raised with a horizontally closed mouth,"['eyebrow', 'raised']",???
33,neutral face with a horizontally closed mouth,"['neutral', 'face']",???
34,expressionless face with a horizontally closed mouth and eyes,"['expressionless', 'face']",???
35,face without mouth with round eyes,"['face', 'without mouth']",???
36,smiling face with smirking eyes and mouth,"['smirking', 'face']",???
37,unamused face with smirking eyes,"['unamused', 'face']",???
38,face with rolling up eyes,"['rolling', 'eyes']",???
39,showing a toothy grimacing face,"['grimacing', 'face']",???
40,lying face with long nose,"['lying', 'face']",???
41,relieved face with closed eyes and smiling mouth,"['relieved', 'face']",???
42,pensive face with closed eyes,"['pensive', 'face']",???
43,sleepy face with slightly opened mouth and a comical bubble from the nose,"['sleepy', 'face']",???
44,drooling face,"['drooling', 'face']",???
45,sleeping face with zzz marks above the face,"['sleeping', 'face']",???
46,face with medical mask,"['face', 'medical', 'mask']",???
47,face with thermometer on a mouth ,"['face', 'thermometer']",?夷?
48,face with head bandage,"['head', 'bandage']",?夷?
49,nauseated green face,"['nauseated', 'face']",???
50,nauseated face with open mouth vomiting,"['open', 'mouth', 'vomiting']",???
51,sneezing face with white handkerchief,"['sneezing', 'face']",???
52,overheated face with cold sweat on the head,"['overheated', 'face']",???
53,freezing face with icicles under the mouth and chin,"['freezing', 'face']",???
54,face with uneven eyes and wavy mouth,"['uneven', 'eyes', 'wavy', 'mouth']",???
55,dizzy face with x signed eyes,"['dizzy', 'face']",???
56,shocked face with exploding head,"['shocked', 'face', 'exploding', 'head']",???
57,face with cowboy hat,"['face', 'cowboy', 'hat']",?姨?
58,face with party horn and party hat,"['face', 'party', 'horn', 'party', 'hat']",???
59,smiling face with sunglasses,"['smiling', 'face', 'sunglasses']",???
60,nerd face with black and big glasses and two front teeth,"['nerd', 'face']",?夷?
61,a questioning expression face with monocle,"['face', 'monocle']",?彛?
62,confused face with round eyes ,"['confused', 'face']",???
63,worried face,"['worried', 'face']",???
64,slightly frowning face,"['slightly', 'frowning', 'face']",???
65,white frowning face,"['white', 'frowning', 'face']",??
66,face with open mouth,"['open', 'mouth']",???
67,hushed face with open mouth,"['hushed', 'face']",???
68,astonished face,"['astonished', 'face']",???
69,flushed face,"['flushed', 'face']",???
70,face with pleading eyes,"['pleading', 'eyes']",??
71,frowning face with open mouth,"['frowning', 'face', 'open', 'mouth']",???
72,anguished face with open mouth,"['anguished', 'face']",???
73,A face with a worried expression and a blue gradient,"['fearful', 'face']",???
74,face with open mouth and cold sweat with a blue gradient,"['open', 'mouth', 'cold', 'sweat']",???
75,disappointed but relieved face with cold sweat on the head,"['disappointed', 'relieved', 'face']",???
76,crying face but relieved,"['crying', 'face']",???
77,loudly crying face,"['loudly', 'crying', 'face']",???
78,face screaming in fear,"['face', 'screaming', 'fear']",???
79,confounded face with a zigzag mouth,"['confounded', 'face']",???
80,disappointed expression with little pain,"['persevering', 'face']",???
81,disappointed face,"['disappointed', 'face']",???
82,face with cold sweat,"['cold', 'sweat']",???
83,"A sad face with a weary expression, as if feeling exhausted or defeated","['weary', 'face']",???
84,"A distressed face with furrowed brows, indicating a sense of discomfort or frustration","['tired', 'face']",???
85,"A face showing frustration with steam coming from the nostrils, suggesting intense emotion or anger","['look', 'triumph']",???
86,"An angry face with furrowed brows, showing frustration or strong disapproval.","['pouting', 'face']",???
