iter	Passed	Remaining
0	10	10552
1	19	9881
2	29	9887
3	40	10022
4	47	9451
5	56	9323
6	67	9525
7	79	9853
8	89	9881
9	97	9606
10	105	9514
11	112	9274
12	121	9194
13	128	9030
14	137	9015
15	144	8892
16	152	8827
17	159	8719
18	168	8691
19	175	8597
20	184	8583
21	193	8619
22	202	8613
23	209	8525
24	217	8483
25	224	8405
26	232	8385
27	242	8413
28	250	8402
29	257	8335
30	266	8321
31	272	8254
32	281	8237
33	290	8262
34	299	8265
35	306	8206
36	314	8191
37	321	8137
38	329	8121
39	336	8076
40	343	8041
41	350	7999
42	357	7957
43	365	7934
44	372	7896
45	381	7918
46	388	7885
47	397	7878
48	406	7881
49	414	7871
50	421	7836
51	431	7871
52	439	7854
53	447	7835
54	454	7807
55	462	7790
56	469	7759
57	478	7772
58	486	7751
59	494	7740
60	503	7750
61	511	7744
62	518	7715
63	527	7717
64	534	7684
65	542	7672
66	550	7669
67	559	7669
68	566	7644
69	576	7656
70	583	7631
71	592	7631
72	599	7612
73	607	7606
74	617	7615
75	626	7617
76	632	7586
77	641	7578
78	647	7547
79	655	7535
80	661	7508
81	669	7494
82	677	7479
83	683	7457
84	691	7444
85	698	7422
86	706	7418
87	714	7405
88	723	7400
89	730	7388
90	738	7380
91	745	7358
92	753	7347
93	760	7326
94	768	7319
95	775	7300
96	782	7281
97	789	7266
98	796	7246
99	803	7229
100	809	7204
101	817	7200
102	827	7205
103	835	7199
104	842	7180
105	850	7170
106	857	7154
107	865	7145
108	872	7130
109	880	7121
110	887	7111
111	895	7097
112	901	7078
113	908	7063
114	916	7052
115	924	7045
116	933	7044
117	940	7032
118	948	7025
119	956	7011
120	965	7011
121	971	6994
122	980	6988
123	986	6969
124	993	6953
125	1000	6937
126	1007	6927
127	1015	6917
128	1021	6900
129	1030	6898
130	1041	6908
131	1049	6903
132	1057	6894
133	1067	6898
134	1075	6890
135	1083	6883
136	1091	6876
137	1099	6864
138	1105	6848
139	1113	6842
140	1120	6826
141	1128	6818
142	1137	6816
143	1145	6810
144	1152	6793
145	1161	6792
146	1167	6776
147	1176	6770
148	1182	6753
149	1189	6741
150	1196	6726
151	1202	6711
152	1210	6702
153	1218	6696
154	1227	6691
155	1233	6675
156	1241	6666
157	1249	6657
158	1257	6649
159	1263	6633
160	1270	6620
161	1277	6608
162	1284	6593
163	1291	6581
164	1297	6566
165	1305	6559
166	1312	6545
167	1319	6533
168	1326	6520
169	1332	6507
170	1341	6502
171	1349	6494
172	1358	6494
173	1365	6482
174	1374	6477
175	1380	6463
176	1387	6453
177	1394	6439
178	1401	6428
179	1408	6415
180	1414	6401
181	1422	6394
182	1429	6381
183	1437	6374
184	1446	6370
185	1454	6366
186	1461	6354
187	1469	6349
188	1476	6337
189	1483	6324
190	1489	6310
191	1496	6298
192	1503	6288
193	1510	6275
194	1518	6270
195	1525	6257
196	1535	6259
197	1542	6248
198	1551	6246
199	1561	6245
200	1571	6245
201	1580	6245
202	1590	6246
203	1600	6246
204	1610	6244
205	1620	6244
206	1630	6244
207	1639	6243
208	1649	6243
209	1659	6244
210	1669	6243
211	1677	6235
212	1684	6224
213	1695	6225
