2024-12-04 16:58:23,501 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Configure stats pid to 7128
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Loading settings from C:\Users\jdh25\.config\wandb\settings
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Loading settings from C:\Obsidian\obsidian\1. Projects\DeepLearning_Cloud\강의 노트\16장_RNN\chap16_source_code\wandb\settings
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': '1. Projects\\DeepLearning_Cloud\\강의 노트\\16장_RNN\\chap16_source_code\\16_text_classification.py', 'program_abspath': 'C:\\Obsidian\\obsidian\\1. Projects\\DeepLearning_Cloud\\강의 노트\\16장_RNN\\chap16_source_code\\16_text_classification.py', 'program': 'C:\\Obsidian\\obsidian\\1. Projects\\DeepLearning_Cloud\\강의 노트\\16장_RNN\\chap16_source_code\\16_text_classification.py'}
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_init.py:_log_setup():533] Logging user logs to C:\Obsidian\obsidian\1. Projects\DeepLearning_Cloud\강의 노트\16장_RNN\chap16_source_code\wandb\run-20241204_165823-3yib1n0y\logs\debug.log
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Obsidian\obsidian\1. Projects\DeepLearning_Cloud\강의 노트\16장_RNN\chap16_source_code\wandb\run-20241204_165823-3yib1n0y\logs\debug-internal.log
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_init.py:init():619] calling init triggers
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'vocab_size': 16, 'embedding_dim': 4, 'max_len': 4, 'batch_size': 32, 'learning_rate': 0.001, 'epochs': 100, 'architecture': 'Sequential_Model', 'optimizer': 'adam', 'loss_function': 'binary_crossentropy'}
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_init.py:init():669] starting backend
2024-12-04 16:58:23,502 INFO    MainThread:7128 [wandb_init.py:init():673] sending inform_init request
2024-12-04 16:58:23,512 INFO    MainThread:7128 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-04 16:58:23,513 INFO    MainThread:7128 [wandb_init.py:init():686] backend started and connected
2024-12-04 16:58:23,536 INFO    MainThread:7128 [wandb_init.py:init():781] updated telemetry
2024-12-04 16:58:23,650 INFO    MainThread:7128 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-04 16:58:24,072 INFO    MainThread:7128 [wandb_init.py:init():867] starting run threads in backend
2024-12-04 16:58:24,412 INFO    MainThread:7128 [wandb_run.py:_console_start():2451] atexit reg
2024-12-04 16:58:24,413 INFO    MainThread:7128 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-12-04 16:58:24,413 INFO    MainThread:7128 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-12-04 16:58:24,413 INFO    MainThread:7128 [wandb_run.py:_redirect():2389] Redirects installed.
2024-12-04 16:58:24,418 INFO    MainThread:7128 [wandb_init.py:init():911] run started, returning control to user process
2024-12-04 16:58:27,873 WARNING MsgRouterThr:7128 [router.py:message_loop():75] message_loop has been closed
