,국립공원명,Year,경도,위도,본부명,지사명,노선명,방향,발생건수
0,태안해안,2011,126.3287751,36.5546,,,,,1.0
1,변산반도,2011,126.582075,35.6470216,,,,,19.0
2,변산반도,2011,126.5970999,35.6598,,,,,8.0
3,내장산,2011,126.8461131,35.4476,,,,,14.0
4,내장산,2011,126.8553923,35.47090788,,,,,9.0
5,내장산,2011,126.8801725,35.4272,,,,,8.0
6,내장산,2011,126.9107078,35.5041,,,,,4.0
7,내장산,2011,126.9179253,35.4874,,,,,3.0
8,내장산,2011,126.9187452,35.5007,,,,,5.0
9,계룡산,2011,127.2203616,36.35454305,,,,,3.0
10,계룡산,2011,127.2520036,36.3472,,,,,4.0
11,지리산,2011,127.4766038,35.3852,,,,,3.0
12,지리산,2011,127.5005907,35.2982,,,,,7.0
13,지리산,2011,127.523318,35.3576,,,,,9.0
14,지리산,2011,127.5668684,35.3637,,,,,27.0
15,지리산,2011,127.6366693,35.31619123,,,,,13.0
16,덕유산,2011,127.6941005,35.9619,,,,,3.0
17,덕유산,2011,127.7369697,35.9182,,,,,7.0
18,덕유산,2011,127.7642246,35.88538897,,,,,13.0
19,덕유산,2011,127.7678166,35.9326,,,,,23.0
20,속리산,2011,127.8235942,36.4883,,,,,4.0
21,속리산,2011,127.8338308,36.6777,,,,,1.0
22,속리산,2011,127.8746136,36.5033,,,,,4.0
23,속리산,2011,127.8789419,36.68945195,,,,,14.0
24,속리산,2011,127.9033749,36.7345,,,,,10.0
25,치악산,2011,128.0487569,37.4122,,,,,2.0
26,월악산,2011,128.0850818,36.8423,,,,,2.0
27,치악산,2011,128.0879428,37.34761886,,,,,4.0
28,가야산,2011,128.0999096,35.80785319,,,,,3.0
29,월악산,2011,128.2596559,36.87919161,,,,,3.0
30,월악산,2011,128.2963322,36.8722,,,,,1.0
31,설악산,2011,128.391064,38.101,,,,,28.0
32,설악산,2011,128.4153535,38.13378028,,,,,4.0
33,소백산,2011,128.421133,36.9076,,,,,8.0
34,소백산,2011,128.4548561,36.9007,,,,,3.0
35,소백산,2011,128.5149468,36.97639272,,,,,1.0
36,설악산,2011,128.5299131,38.179,,,,,1.0
37,오대산,2011,128.5809816,37.7553,,,,,16.0
