"국립공원","생물분류","종명","학명","분류명","경도","위도","조사일자","개체수"
"가야산","곤충류","Ameletus costalis","costalis","피라미하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Anotogaster sieboldii","sieboldii","장수잠자리","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Cinygmula grandifolia","grandifolia","봄처녀하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Cinygmula grandifolia","grandifolia","봄처녀하루살이","128.07959","35.81062","2022-05-22","7"
"가야산","곤충류","Davidius lunatus","lunatus","쇠측범잠자리","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Drunella aculea","aculea","뿔하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Ecdyonurus kibunensis","kibunensis","두점하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Ephemera separigata","separigata","가는무늬하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Ephemerella atagosana","atagosana","알락하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Heptagenia kihada","kihada","햇님하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Hydatophylax nigrovittatus","nigrovittatus","띠무늬우묵날도래","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Kamimuria coreana","coreana","한국강도래","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Kamimuria coreana","coreana","한국강도래","128.07959","35.81062","2022-05-22","3"
"가야산","곤충류","Nigrobaetis bacillus","bacillus","깜장하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Paraleptophlebia japonica","japonica","두갈래하루살이","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Paraleptophlebia japonica","japonica","두갈래하루살이","128.07959","35.81062","2022-05-22","7"
"가야산","곤충류","Psilotreta kisoensis","kisoensis","바수염날도래","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Rhyacophila brevicephala","brevicephala","넓은머리물날도래","128.07811","35.81122","2022-05-21","0"
"가야산","곤충류","Rhyacophila brevicephala","brevicephala","넓은머리물날도래","128.07959","35.81062","2022-05-22","62"
"가야산","곤충류","Sweltsa nikkoensis","nikkoensis","녹색강도래","128.07811","35.81122","2022-05-21","3"
"가야산","관속식물류","Aconitum jaluense","jaluense","투구꽃","128.07826","35.81125","2022-05-25","100"
"가야산","관속식물류","Alnus japonica","japonica","오리나무","128.0796","35.81041","2022-05-25","100"
"가야산","관속식물류","Carex biwensis","biwensis","솔잎사초","128.07947","35.81071","2022-05-25","1000"
