본부명,지사명,노선명,구간,방향,5km,발생건수,위도,경도,Year
수도권,경기광주,제2중부선,330~335,하남,330.0,4.0,37.283,127.386,2019
수도권,경기광주,중부선,325~330,통영,325.0,7.0,37.249,127.421,2019
수도권,경기광주,중부선,330~335,통영,330.0,10.0,37.283,127.385,2019
수도권,경기광주,중부선,335~340,통영,335.0,7.0,37.315,127.347,2019
수도권,경기광주,중부선,340~345,통영,340.0,4.0,37.354,127.321,2019
수도권,경기광주,중부선,345~350,통영,345.0,6.0,37.398,127.311,2019
수도권,경기광주,중부선,350~355,통영,350.0,3.0,37.439,127.289,2019
수도권,경기광주,중부선,330~335,하남,330.0,3.0,37.283,127.385,2019
수도권,군포,영동선,45~50,서창,45.0,5.0,37.289,127.139,2019
강원,강릉,동해선,15~20,근덕,15.0,3.0,37.486,129.091,2019
강원,강릉,동해선,50~55,속초,50.0,3.0,37.691,128.897,2019
강원,양양,동해선,100~105,속초,100.0,3.0,38.057,128.63,2019
강원,원주,영동선,115~120,강릉,115.0,3.0,37.316,127.831,2019
강원,원주,영동선,140~145,서창,140.0,4.0,37.445,128.036,2019
강원,이천,영동선,55~60,강릉,55.0,7.0,37.248,127.235,2019
강원,이천,영동선,60~65,강릉,60.0,12.0,37.239,127.289,2019
강원,이천,영동선,65~70,강릉,65.0,3.0,37.252,127.342,2019
강원,이천,영동선,70~75,강릉,70.0,3.0,37.24,127.393,2019
강원,이천,영동선,75~80,강릉,75.0,11.0,37.237,127.446,2019
강원,이천,영동선,80~85,강릉,80.0,8.0,37.245,127.501,2019
강원,이천,영동선,50~55,서창,50.0,4.0,37.269,127.186,2019
강원,이천,영동선,55~60,서창,55.0,8.0,37.248,127.235,2019
강원,이천,영동선,60~65,서창,60.0,4.0,37.239,127.289,2019
강원,이천,영동선,70~75,서창,70.0,3.0,37.24,127.393,2019
강원,이천,영동선,75~80,서창,75.0,6.0,37.237,127.446,2019
강원,이천,중부내륙선,270~275,창원,270.0,3.0,37.27,127.582,2019
강원,홍천,중앙선,315~320,부산,315.0,7.0,37.341,127.913,2019
강원,홍천,중앙선,320~325,부산,320.0,3.0,37.383,127.894,2019
강원,홍천,중앙선,345~350,부산,345.0,3.0,37.573,127.973,2019
강원,홍천,중앙선,360~365,부산,360.0,6.0,37.67,127.874,2019
강원,홍천,중앙선,370~375,부산,370.0,9.0,37.725,127.797,2019
강원,홍천,중앙선,375~380,부산,375.0,3.0,37.766,127.791,2019
